bartoc,uri,label
http://bartoc.org/en/taxonomy/term/12646,http://eurovoc.europa.eu/6776,"mobile phone"
http://bartoc.org/en/taxonomy/term/11719,http://eurovoc.europa.eu/1426,"computer systems"
http://bartoc.org/en/taxonomy/term/12537,http://eurovoc.europa.eu/3026,"computer applications"
http://bartoc.org/en/taxonomy/term/11723,http://eurovoc.europa.eu/5862,"computer network"
http://bartoc.org/en/taxonomy/term/11677,http://eurovoc.europa.eu/6261,"virtual reality"
http://bartoc.org/en/taxonomy/term/12641,http://eurovoc.europa.eu/5532,consultancy
http://bartoc.org/en/taxonomy/term/11937,http://eurovoc.europa.eu/47,"consumer behaviour"
http://bartoc.org/en/taxonomy/term/12525,http://eurovoc.europa.eu/2836,"consumer protection"
http://bartoc.org/en/taxonomy/term/11857,http://eurovoc.europa.eu/573,"criminal law"
http://bartoc.org/en/taxonomy/term/14130,http://eurovoc.europa.eu/4349,"suspension of sentence"
http://bartoc.org/en/taxonomy/term/11953,http://eurovoc.europa.eu/1432,offence
http://bartoc.org/en/taxonomy/term/12536,http://eurovoc.europa.eu/2723,"crop production"
http://bartoc.org/en/taxonomy/term/11634,http://eurovoc.europa.eu/2278,"cultural heritage"
http://bartoc.org/en/taxonomy/term/11639,http://eurovoc.europa.eu/4100,"architectural heritage"
http://bartoc.org/en/taxonomy/term/11674,http://eurovoc.europa.eu/4877,"cultural object"
http://bartoc.org/en/taxonomy/term/11640,http://eurovoc.europa.eu/5747,monument
http://bartoc.org/en/taxonomy/term/11619,http://eurovoc.europa.eu/317,culture
http://bartoc.org/en/taxonomy/term/12601,http://eurovoc.europa.eu/5171,"regional culture"
http://bartoc.org/en/taxonomy/term/12431,http://eurovoc.europa.eu/4488,"data processing"
http://bartoc.org/en/taxonomy/term/14053,http://eurovoc.europa.eu/5181,"data protection"
http://bartoc.org/en/taxonomy/term/12485,http://eurovoc.europa.eu/773,"data recording"
http://bartoc.org/en/taxonomy/term/12423,http://eurovoc.europa.eu/6030,"data collection"
http://bartoc.org/en/taxonomy/term/11646,http://eurovoc.europa.eu/100173,defence
http://bartoc.org/en/taxonomy/term/11649,http://eurovoc.europa.eu/7340,"military science"
http://bartoc.org/en/taxonomy/term/11914,http://eurovoc.europa.eu/371,"degradation of the environment"
http://bartoc.org/en/taxonomy/term/11733,http://eurovoc.europa.eu/5565,cyclone
http://bartoc.org/en/taxonomy/term/11906,http://eurovoc.europa.eu/1335,fire
